file_name,mean_x,mean_y,mean_vx,mean_vy,size,r_sun,vPhi.vR,rotating,age,RA,DEC,L,B,R_sun,R_gc,X,Y,Z,X.Fe.H.,wt,E.B.V.,V_HB,X.m.M.V,V_t,M_V.t,U.B,B.V,V.R,V.I,spt,ellip
NGC_6352.txt,81.3727489023058,-0.968539864807445,-2.14739259708738,-4.44029432645631,3296,5.6,-2.84798,0,10.75+-0.38,17 25 29.11,-48 25 19.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7,-0.64,5,0.22,15.13,14.43,7.96,-6.47,0.64,1.06,0.66,1.5,G4,0.07
NGC_6355.txt,80.9939633944223,-0.47707993497852,-4.81879980079681,-0.543729482071713,502,9.2,-0.703971,0,NA,17 23 58.59,-26 21 12.3,359.59,5.43,9.2,1.4,9.2,-0.1,0.9,-1.37,4,0.77,17.8,17.21,9.14,-8.07,0.72,1.48,0.93,1.83,G0,NA
NGC_6356.txt,80.895369702514,-0.316052039772127,-3.76798798882682,-3.40582863128492,716,15.1,-1.08612,0,NA,17 23 34.93,-17 48 46.9,6.72,10.22,15.1,7.5,14.7,1.7,2.7,-0.4,5,0.28,17.5,16.76,8.25,-8.51,0.63,1.13,0.69,1.45,G3,0.03
NGC_6362.txt,82.9787742424972,-1.59448930851023,-5.555508156663,-4.75101045567181,14528,7.6,-1.38397,0,12.50+-0.25,17 31 54.99,-67 02 54.0,325.55,-17.57,7.6,5.1,6,-4.1,-2.3,-0.99,4,0.09,15.33,14.68,7.73,-6.95,0.29,0.85,0.56,1.14,G3,0.07
NGC_6366.txt,81.9336320353619,-0.0887511167220801,-0.316159910313901,-5.18444704676489,7805,3.5,0.378242,0,11.00+-0.50,17 27 44.24,-05 04 47.5,18.41,16.04,3.5,5,3.2,1.1,1,-0.59,3,0.71,15.65,14.94,9.2,-5.74,0.97,1.44,NA,NA,,0.16
NGC_6380_Ton1.txt,83.6178722306034,-0.741866312317845,-2.17670215517241,-3.24077737068965,464,10.9,-3.67291,0,NA,17 34 28.0,-39 04 09,350.18,-3.42,10.9,3.3,10.7,-1.9,-0.6,-0.75,2,1.17,19.5,18.81,11.31,-7.5,NA,2.01,NA,NA,,NA
NGC_6388.txt,84.0718996538462,-0.874837812009114,-1.30155775240385,-2.71252085336539,1664,9.9,-26.7054,0,NA,17 36 17.23,-44 44 07.8,345.56,-6.74,9.9,3.1,9.6,-2.5,-1.2,-0.55,6,0.37,16.85,16.13,6.72,-9.41,0.66,1.17,0.71,1.47,G2,0.01
NGC_6397.txt,85.178613345479,-1.11460245101522,3.27773946734706,-17.6759512929304,34882,2.3,-0.00719253,0,13.00+-0.25,17 40 42.09,-53 40 27.6,338.17,-11.96,2.3,6,2.1,-0.8,-0.5,-2.02,7,0.18,12.87,12.37,5.73,-6.64,0.12,0.73,0.49,1.03,F4,0.07
NGC_6401.txt,84.6528479716495,-0.429967850271738,-2.75548273195876,1.47452886597938,388,10.6,-1.02482,0,NA,17 38 36.60,-23 54 34.2,3.45,3.98,10.6,2.7,10.5,0.6,0.7,-1.02,5,0.72,18,17.35,9.45,-7.9,0.93,1.58,1.02,2.01,F9,0.15
NGC_6402_M_14.txt,84.3984037225314,-0.0566823233366302,-3.64303278740658,-5.13976237875656,6289,9.3,-18.8894,0,NA,17 37 36.10,-03 14 45.3,21.32,14.81,9.3,4,8.3,3.3,2.4,-1.28,1,0.6,17.3,16.69,7.59,-9.1,0.57,1.25,0.81,1.64,F4,0.11
NGC_6426.txt,86.225320258,0.055363967829069,-1.7149878,-2.8951514,500,20.6,0.440237,0,NA,17 44 54.65,+03 10 12.5,28.09,16.23,20.6,14.4,17.4,9.3,5.8,-2.15,3,0.36,18.16,17.68,11.01,-6.67,0.35,1.02,NA,1.28,G1,0.15
NGC_6440.txt,87.2206645010183,-0.363109298962028,-1.19694256619145,-4.0016067209776,491,8.5,-1.78276,0,NA,17 48 52.70,-20 21 36.9,7.73,3.8,8.5,1.3,8.4,1.1,0.6,-0.36,6,1.07,18.7,17.95,9.2,-8.75,1.47,1.97,1.24,2.51,G4,0.01
NGC_6441.txt,87.5559706337854,-0.697067781223883,-2.53787361282367,-5.35761948212084,811,11.6,7.09012,0,NA,17 50 13.06,-37 03 05.2,353.53,-5.01,11.6,3.9,11.5,-1.3,-1,-0.46,6,0.47,17.51,16.78,7.15,-9.63,0.81,1.27,0.79,1.62,G2,0.02
